Number;Name;Height;East;Degree;Minute;Second;North;Degree;Minute;Second
153;;6128;93° 38' 3'';93;38;3;30° 29' 9'';30;29;9
154;;6128;93° 50' 12'';93;50;12;30° 54' 0'';30;54;0
155;;6125;94° 18' 46'';94;18;46;30° 35' 56'';30;35;56
156;;6120;94° 39' 49'';94;39;49;30° 28' 38'';30;28;38
157;;6119;93° 13' 38';93;13;38;30° 31' 26'';30;31;26
158;;6117;93° 54' 7'';93;54;7;30° 19' 6'';30;19;6
159;;6114;93° 16' 20'';93;16;20;30° 14' 45'';30;14;45
160;;6114;94° 35' 27'';94;35;27;30° 35' 17'';30;35;17
161;;6114;94° 11' 2'';94;11;2;30° 14' 42'';30;14;42
162;;6112;94° 48' 0';94;48;0;30° 32' 55'';30;32;55
163;Kila Pu;6110;94° 10' 50'';94;10;50;30° 45' 4'';30;45;4
164;;6110;93° 52' 19'';93;52;19;30° 9' 21'';30;9;21
165;;6109;95° 1' 38'';95;1;38;30° 25' 60'';30;25;60
166;;6108;93° 30' 16'';93;30;16;30° 18' 30'';30;18;30
167;;6108;93° 45' 30'';93;45;30;30° 56' 38'';30;56;38
